,Quantile,Time,State variable,Smoothing,Residuals,Variance,Lag-1 AC,Lag-2 AC,Lag-3 AC,AIC fold,AIC hopf,AIC null,Smax,Smax/Var
0,0.05,249,-0.1840254542949321,-0.07422634002045257,-0.25704392350031424,0.03853318207926408,0.22810580834195995,-0.058320467529572234,-0.07934034994484865,0.9999613781544147,3.076352070810942e-17,1.8193109050785201e-09,0.0015770010253580932,0.03946040504818591
1,0.05,269,-0.27610957531927344,-0.16733844220690514,-0.1337643362664186,0.03951254315195465,0.23295849030144697,-0.07956735596924712,-0.06031308763888987,0.9985652540478441,6.973804748989677e-17,4.1082336769878005e-08,0.0017762835973599927,0.04115280898981645
2,0.05,289,-0.05193949348849039,0.05027160306086094,-0.10877694255441936,0.038431166329385494,0.1581743390736126,-0.13455895539511403,-0.056463341080899815,0.841723964115705,1.196700879788666e-20,1.401760079303429e-12,0.001965932290111179,0.051135111739475256
3,0.05,309,-0.18567552782359906,-0.08188062972538622,-0.11048147206318563,0.03838090582110293,0.21606174452663401,-0.03380371174817091,0.022565161554606774,0.4852149796125923,4.8164573972614636e-17,1.937938411969013e-11,0.0024783465269568416,0.05942883642945345
4,0.05,329,-0.12915403850713858,-0.013335604352630082,-0.2534478516821018,0.0335708885513783,0.1971585610058615,-0.1282309402125095,-0.06257345013058549,0.9157426283596078,1.191481879613791e-12,9.821045801395525e-08,0.0017817682100579573,0.04896759395053175
5,0.05,349,-0.0899091528472436,-0.09993314114983379,-0.042147245007336326,0.036457457024107,0.17626318203628288,-0.1683160175978536,0.03290961490221695,0.19998853386520132,2.1355738223198033e-14,6.522791483009485e-09,0.0016260612641000114,0.04152789178676546
6,0.05,369,-0.04336758114676868,-0.05663244547626182,-0.10603429314078491,0.034447334654285386,0.1738645533537941,-0.10138009186744142,0.009104052727394141,0.962772433241655,1.3662709983217958e-26,3.4882824922835e-11,0.0016340579818122552,0.04585854949197506
7,0.05,389,0.13703832365711718,-0.194071126722411,0.01495121742010655,0.03331136032618436,0.22797992756392588,-0.05543107731909893,0.052019980614348794,0.9999602976517274,9.598229548095378e-21,3.277353493711741e-10,0.0016674962884052488,0.04553762304215723
8,0.05,409,-0.42899319323570106,-0.32718016846826053,-0.10896460652133562,0.036009880222699624,0.21427735814376125,0.013640009297110784,0.09501619144568184,0.995147181118325,1.1200514419505243e-16,1.5526157142740086e-09,0.0019702031686371956,0.051269974450181346
9,0.05,429,-0.04255061657386322,0.00929215422908454,-0.05184277080294776,0.03171209189225624,0.22826290838336796,-0.12553151564029155,0.027299429755843724,0.357907921086868,7.29151411723646e-28,9.223416609427239e-16,0.0015044907616347965,0.0405937915341204
10,0.05,449,-0.23035503965292642,-0.06247283401733006,-0.2054402181104048,0.03379503346270537,0.3334797689003756,0.037628945387637336,0.003013671057395375,0.9967006851434616,3.78344743919158e-27,1.0748525473857842e-18,0.0015843392558846645,0.04606911136192093
11,0.05,469,-0.2038699676817128,-0.14781898560275025,-0.20206104840933586,0.034748424182826074,0.32786318401347075,0.06750397340552695,-0.017232344001558247,0.9999999999292096,6.175031512553625e-20,1.29662882904087e-14,0.0018683814684411382,0.05376471690559076
12,0.05,489,-0.07728260439614482,-0.08491951749818194,-0.07466764577282256,0.03531463368227149,0.3650747986361263,0.06591775692607896,0.014216563971414109,0.9999999980136203,1.4177466032023986e-17,3.936262435430078e-16,0.001955296168095766,0.05298673451619595
13,0.05,509,-0.2273270167860801,-0.11611987404128501,-0.1360113139934406,0.031583905373780204,0.35283655858129903,0.04228273172351957,-0.0198372525899963,0.9999999987555173,2.818718299789311e-16,2.3447667294054634e-12,0.0017217811539036907,0.05440875215812431
14,0.05,529,0.050439976717213675,-0.06700921558126433,-0.01062269200779968,0.036129649074688484,0.3259075524694718,-0.05355191937340755,-0.04921955546586049,0.9999999767880479,9.691584268609673e-17,1.4133434409034175e-15,0.0017441720662350266,0.045263993704030184
15,0.05,549,-0.12716539225267703,-0.15284765977685835,0.01624262952851649,0.034543313358506855,0.3472776471338522,0.03488722832039192,-0.05922298346742378,0.9999999999456022,1.6271323227240278e-23,5.27753929693593e-20,0.0016226284804199368,0.045768066443367644
16,0.05,569,0.01988419839400119,0.014425646063099169,-0.1414472584554395,0.03437730734016636,0.3236961864026442,0.0113496356779045,-0.04838076948998308,0.9999999944345259,6.395454694601162e-16,7.343368234005697e-14,0.0017109074732795833,0.045298789869311046
17,0.05,589,-0.335698716357568,-0.14965878500839844,-0.2774997068462775,0.034538293629505876,0.32252487508259114,-0.06968191909251213,-0.08140072749671362,0.4572588899208617,7.534834698396707e-23,1.2057329213951045e-15,0.001604504323631737,0.04482822057289964
18,0.05,609,-0.14132721776672527,-0.12318990659767314,-0.21312567884698422,0.04022226216353112,0.39942667086897476,0.04185945399989608,-0.054620087665614006,0.2000027283724678,1.7207754111106288e-17,3.6403511709334632e-19,0.002589703306286275,0.06159322918885566
19,0.05,629,-0.19984912341808753,-0.03683081767111061,-0.22907572417085545,0.03433708934987912,0.42629594354633504,0.09265639835457955,0.0072830177926806496,0.999999998794615,2.447094266346071e-19,1.4953657744793322e-24,0.0027846197200837816,0.07061943063246966
20,0.05,649,0.1777655810451915,-0.004343273226092424,-0.007164149275356046,0.03661862352478332,0.48105860609802464,0.18959180843207177,0.0981252446690524,0.53578385159114,1.4943232715118346e-19,1.244852761425091e-25,0.0021313184314862193,0.05461202332788767
21,0.05,669,-0.01456669985602428,-0.045870282623042546,-0.11903215956724605,0.03518237258854875,0.4259394954438941,0.12403463443951696,0.06952967561893414,0.9999999336943772,2.965313501763928e-20,1.7185226719249325e-26,0.002159721079436036,0.05730907360032694
22,0.05,689,0.14047235856646587,0.00607740066820834,-0.0788184107319764,0.03482745831688305,0.46155217064522513,0.11292908309390193,0.010699113899052185,0.9999999999884309,2.015777213570136e-24,6.084434533763789e-26,0.002042173827915324,0.05606667413882411
23,0.05,709,-0.13673106333198995,-0.01789061797409407,-0.1335115413477253,0.0357702748188133,0.5041085656731101,0.22562338058024597,0.08424874355085354,0.9997201201736292,5.236134086065993e-19,5.3134533641748806e-18,0.002826528840602375,0.07250577501671651
24,0.05,729,-0.060797990712712746,-0.17454586550747136,-0.044271663932586816,0.032551789940144335,0.48845723615326697,0.14965442661164108,0.05816132777214126,0.999999999999933,2.626699484595891e-25,9.397857724253791e-27,0.002536487683122209,0.0665694847643356
25,0.05,749,-0.376909715130104,-0.09495034516764281,-0.45846383422382503,0.04081013798109167,0.5820544573866794,0.3409669834837233,0.19813724091525803,1.4389807343033225e-22,2.092003189314784e-07,4.523425808231948e-38,0.0034567205816816576,0.08253935253155638
26,0.05,769,-0.04172635571284751,0.08958664957539628,-0.15350705423492098,0.04693712663887449,0.5970718761860894,0.31645750397251704,0.24560411520486997,1.2695825185568815e-15,1.47490253063722e-21,2.8932011357551648e-36,0.005060110158815291,0.107803953793672
27,0.05,789,-0.18110363580429692,-0.15317507018088006,-0.2559800291471761,0.05707232375550659,0.7018774270286463,0.49769173096689356,0.3427222721719474,0.0005204594285667173,8.643260861114127e-12,3.7142966597663894e-37,0.007003199074009295,0.09613273368640321
28,0.25,249,-0.1367904083119793,0.036978755033538736,-0.03476279452802891,0.039039856096520054,0.24589313835486523,-0.046690070245736355,-0.021029017813788346,0.999996811564931,1.4736481558778488e-16,9.068103505756326e-09,0.0016956236084268682,0.03963501750020096
29,0.25,269,-0.10891036755815975,-0.12868548450199507,-0.10519089882641636,0.04158332914402279,0.2443557743161664,-0.03320039389384784,0.010224962140852134,0.9999952383588607,3.0486146650230056e-16,2.0423232120894095e-07,0.0020970569209241533,0.04941512048869029
30,0.25,289,-0.03370682562268179,0.05902606440095165,-0.08178981334852005,0.03911440205849126,0.2708977642399063,0.005442292787678429,-0.020158146273933617,0.999029582419118,3.951962224303672e-20,7.008800390741494e-12,0.002171935592719664,0.05552777182869304
31,0.25,309,-0.10423499451652951,-0.03237086753516535,-0.10529699680622817,0.041607616538180056,0.24141851120470117,0.05471262384020381,0.09953112657163331,0.9999928530817283,2.408228694475815e-16,9.651864081596391e-11,0.002509350969244084,0.05963041693382767
32,0.25,329,-0.029335032934383776,0.012803581190648606,-0.17760945401564482,0.03876579759456327,0.2612965045755817,-0.04975871637698334,-0.05381579234669491,0.9999895698293988,5.957409396262003e-12,4.910347981031618e-07,0.0020011425927155694,0.04923461118652325
33,0.25,349,-0.032605786170099904,-0.03411674929123158,0.06973675586451011,0.03800924601107752,0.1926552991324231,-0.0759607444292006,0.045265343774467,0.9999419213287045,1.0677868574152133e-13,3.247281888232323e-08,0.0017970977539890358,0.042688466055092016
34,0.25,369,-0.030016228246775967,-0.010524756831636515,-0.050152090207581074,0.034711294063193336,0.24738801089451906,-0.05791795132166161,0.030819704561016733,0.9997413924535313,6.796443708049904e-26,1.721536607251598e-10,0.001970695272082888,0.048974185964653624
35,0.25,389,0.22389286415120324,0.0021523874274191196,0.10571644665725025,0.03521147211808974,0.2460421542725475,0.03814578855235538,0.16360213895763306,0.9999999378146128,4.799114773085188e-20,1.6386767228559788e-09,0.0017788880033941137,0.048077473825817806
