Realisation number,AIC fold,AIC hopf,AIC null
1,1.4083079020719742e-13,0.9999999036806599,9.631919924103729e-08
2,2.172356817980452e-10,0.9997497518947073,0.0002502478880571168
3,8.642201383768897e-13,0.999648995140666,0.0003510048584700385
4,2.651769381796174e-13,0.9999996655895539,3.344101808501031e-07
5,1.1888379121761467e-19,0.9999999999999998,1.8553142111357397e-16
6,1.0509334605940924e-09,0.9995743040504209,0.00042569489864573563
7,6.105474476369102e-18,0.9999999999941553,5.844569855246088e-12
8,4.065687652352393e-05,0.00017127496003164735,0.9997880681634449
9,2.367999607063391e-20,0.9999999999999998,1.4935898971187278e-16
10,8.806264573201209e-20,0.9999999999999996,3.4680030394043283e-16
11,2.671071041091147e-10,0.9999671054416008,3.289429129203273e-05
12,4.234861313426146e-12,0.9999999099974713,8.999829380701351e-08
13,8.610059014636667e-16,0.9999999999532492,4.6749895742957345e-11
14,9.46903649022168e-19,0.9999999999999492,5.075451382663415e-14
15,0.00013173679628570315,3.409987970358583e-09,0.9998682597937264
16,2.5556056694494326e-06,0.3472202102059217,0.6527772341884087
17,2.611202108381754e-10,0.9997591299673857,0.0002408697714941664
18,1.0064301019047101e-21,1.0,6.865690197617498e-18
19,1.9502462407472563e-11,0.9999990522848421,9.476956556049788e-07
20,6.102231610252809e-19,0.9999999999998861,1.13925573268539e-13
