Realisation number,Variable,Time,Frequency,Empirical
1,x,249.0,-3.141592653589793,0.00714465476248639
1,x,249.0,-2.9845130209103035,0.005421855818557032
1,x,249.0,-2.827433388230814,0.008500076854253637
1,x,249.0,-2.6703537555513246,0.0066289483681960465
1,x,249.0,-2.5132741228718345,0.007965479934128928
1,x,249.0,-2.356194490192345,0.009906706266045234
1,x,249.0,-2.199114857512855,0.006877810118418601
1,x,249.0,-2.0420352248333655,0.005537353750922713
1,x,249.0,-1.884955592153876,0.006054242078827451
1,x,249.0,-1.7278759594743864,0.00437150085590755
1,x,249.0,-1.5707963267948966,0.003280859053441949
1,x,249.0,-1.413716694115407,0.004856262654911745
1,x,249.0,-1.2566370614359172,0.011877532021277877
1,x,249.0,-1.0995574287564276,0.02019142309191757
1,x,249.0,-0.942477796076938,0.013977581619132389
1,x,249.0,-0.7853981633974483,0.01090570331743061
1,x,249.0,-0.6283185307179586,0.012706164637717315
1,x,249.0,-0.471238898038469,0.019772993078064224
1,x,249.0,-0.3141592653589793,0.01428133077141301
1,x,249.0,-0.15707963267948966,0.01279747074889203
1,x,249.0,0.0,0.004404732770420732
1,x,249.0,0.15707963267948966,0.01279747074889203
1,x,249.0,0.3141592653589793,0.01428133077141301
1,x,249.0,0.471238898038469,0.019772993078064224
1,x,249.0,0.6283185307179586,0.012706164637717315
1,x,249.0,0.7853981633974483,0.01090570331743061
1,x,249.0,0.942477796076938,0.013977581619132389
1,x,249.0,1.0995574287564276,0.02019142309191757
1,x,249.0,1.2566370614359172,0.011877532021277877
1,x,249.0,1.413716694115407,0.004856262654911745
1,x,249.0,1.5707963267948966,0.003280859053441949
1,x,249.0,1.7278759594743864,0.00437150085590755
1,x,249.0,1.884955592153876,0.006054242078827451
1,x,249.0,2.0420352248333655,0.005537353750922713
1,x,249.0,2.199114857512855,0.006877810118418601
1,x,249.0,2.356194490192345,0.009906706266045234
1,x,249.0,2.5132741228718345,0.007965479934128928
1,x,249.0,2.6703537555513246,0.0066289483681960465
1,x,249.0,2.827433388230814,0.008500076854253637
1,x,249.0,2.9845130209103035,0.005421855818557032
1,x,249.0,3.141592653589793,0.00714465476248639
1,x,269.0,-3.141592653589793,0.007763321912867909
1,x,269.0,-2.9845130209103035,0.006232159647425853
1,x,269.0,-2.827433388230814,0.00849578252218642
1,x,269.0,-2.6703537555513246,0.006526314412355352
1,x,269.0,-2.5132741228718345,0.008392229782862552
1,x,269.0,-2.356194490192345,0.010997899645425635
1,x,269.0,-2.199114857512855,0.010590148101876036
1,x,269.0,-2.0420352248333655,0.008366328795046769
1,x,269.0,-1.884955592153876,0.007415854062617535
1,x,269.0,-1.7278759594743864,0.004407835914961733
1,x,269.0,-1.5707963267948966,0.003133612154320907
1,x,269.0,-1.413716694115407,0.005245691864804663
1,x,269.0,-1.2566370614359172,0.00944222706316407
1,x,269.0,-1.0995574287564276,0.016016947016611018
1,x,269.0,-0.942477796076938,0.012689458685284703
1,x,269.0,-0.7853981633974483,0.010258669823368814
1,x,269.0,-0.6283185307179586,0.011543664209235803
1,x,269.0,-0.471238898038469,0.012907703773304564
1,x,269.0,-0.3141592653589793,0.009140972711248325
1,x,269.0,-0.15707963267948966,0.011931546640343205
1,x,269.0,0.0,0.0036875522661593413
1,x,269.0,0.15707963267948966,0.011931546640343205
1,x,269.0,0.3141592653589793,0.009140972711248325
1,x,269.0,0.471238898038469,0.012907703773304564
1,x,269.0,0.6283185307179586,0.011543664209235803
1,x,269.0,0.7853981633974483,0.010258669823368814
1,x,269.0,0.942477796076938,0.012689458685284703
1,x,269.0,1.0995574287564276,0.016016947016611018
1,x,269.0,1.2566370614359172,0.00944222706316407
1,x,269.0,1.413716694115407,0.005245691864804663
1,x,269.0,1.5707963267948966,0.003133612154320907
1,x,269.0,1.7278759594743864,0.004407835914961733
1,x,269.0,1.884955592153876,0.007415854062617535
1,x,269.0,2.0420352248333655,0.008366328795046769
