Realisation number,AIC fold,AIC flip,AIC hopf,AIC null
1,1.6317621837904947e-22,1.0,4.911976343603981e-20,2.885996730696528e-20
2,6.03511731422421e-14,0.004984599236562129,0.9950153885895204,1.2173856931526357e-08
3,3.0538357170641685e-15,0.9960773252164333,0.00392266194854042,1.2835023246042715e-08
4,2.150469870786041e-16,0.9991466372192741,0.0008533627177207368,6.300489184904452e-11
5,1.235028424119922e-16,0.9999999999949096,4.935326261057496e-12,1.5486312953993633e-13
6,4.178080761891571e-11,0.9992880758229449,0.0006933391236067148,1.8585011667491692e-05
7,1.5060854658232284e-14,0.9999999390838635,6.070362242379669e-08,2.1249886608230739e-10
8,7.020648596613235e-11,0.09998167474634903,0.8999445437336188,7.378144982574194e-05
9,1.0296980254898965e-15,0.9999999999804936,1.604592456010947e-11,3.4594780395614878e-12
10,3.425660187930851e-17,0.9999999999617313,3.8105968843295607e-11,1.6282855753427742e-13
11,2.8439739044518973e-16,1.5520343391282578e-07,0.9999998447896109,6.954927221428468e-12
12,1.0200619051120093e-20,0.9999997511970027,2.488029963433587e-07,1.1852922438995059e-15
13,6.852457712934661e-13,0.9999999068969121,6.312170662769539e-08,2.99806959615224e-08
14,5.1923703206045344e-15,0.9996643250527945,0.0003356749105827948,3.661750783752479e-11
15,2.1985630266971267e-06,0.8402900604962501,0.06142613876277376,0.09828160217794925
16,2.3902560472241435e-12,0.8457449941553141,0.15425400043191217,1.0054103834547102e-06
17,1.8014410598247707e-12,0.9985672721907427,0.0014304072438028929,2.320563652786938e-06
18,2.7564449439394865e-19,0.9999999705510068,2.9448991867924507e-08,1.4151879051584078e-15
19,5.34855224856919e-20,0.9999999999998979,1.0197781460222549e-13,1.912128110444888e-16
20,2.913337826678339e-18,0.1337076865939944,0.8662923134052559,7.495351476423634e-13
21,3.7041933848654006e-21,0.9999999788020772,2.1197922530505447e-08,2.1898254004340746e-16
22,4.384720152438602e-20,0.9999980031729497,1.996827041385505e-06,8.89905671464845e-15
23,8.995066500788573e-17,0.8804867285226521,0.11951327121552703,2.618209283694865e-10
24,5.835437974105648e-18,0.9999999999944145,5.570015982320192e-12,1.5482049224040433e-14
25,2.5953665340029054e-22,0.9999999999999922,7.769539322894145e-15,8.503660453750779e-19
26,6.019359296864884e-15,0.9999898316364173,1.0168244735148342e-05,1.1884152991471266e-10
27,1.0386384070545117e-14,8.442928583762126e-05,0.9999155684400578,2.274094318674325e-09
28,5.979756872562726e-08,0.588342576475096,0.4031345072312106,0.00852285649612466
29,1.2386660360502962e-14,0.5627129231260461,0.4372870743976534,2.476288051914974e-09
30,1.441745133554949e-25,0.9999999999999833,1.6623955783440784e-14,4.198126362838758e-21
31,6.021877703222079e-23,0.9999999999999825,1.7617103424130036e-14,6.131517481484968e-19
32,5.149750618726698e-18,0.9999999844131549,1.558680649200669e-08,3.869854930186594e-14
33,6.297916776360682e-09,0.18183535966795675,0.8165033338661654,0.0016613001679611267
34,1.8698851872185778e-20,0.9999999999999531,4.6620182503847334e-14,1.3379696614677704e-16
35,8.1499825121429295e-16,0.9999999953642835,4.560016738416463e-09,7.569885115470216e-11
36,3.510561956262953e-12,0.9997600124860206,0.00023965898949642698,3.285209724313136e-07
37,9.900145660590051e-21,0.9999999999561286,4.387039623680687e-11,8.903612213993137e-16
38,1.8984980600990591e-13,0.9998763925271249,0.00012355485827446447,5.261441082068478e-08
39,3.584926077205771e-15,1.0171616175857582e-05,0.9999898283078914,7.592907915502436e-11
40,1.4518649449334606e-13,0.9999671115271145,3.2862765895360064e-05,2.5706844858165627e-08
41,3.2711837653680375e-12,0.0001930089164530734,0.999806495729629,4.953506467522975e-07
42,3.652410629954424e-13,0.9999866807723962,1.331546341346956e-05,3.763825171825805e-09
43,4.556360163679172e-16,0.9999999971021152,2.8894391001739913e-09,8.445217962218317e-12
44,5.5825129638534764e-14,0.9999999976564025,2.2375834662803144e-09,1.0595842175066121e-10
45,4.3897760189351996e-13,0.9999605889995213,3.898396340655741e-05,4.270366330890619e-07
46,3.862175848076354e-11,0.9972348807759732,0.002722872475426425,4.224670997859372e-05
