Realisation number,Variable,index,Kurtosis,Lag-3 AC,Variance,Skewness,Coefficient of variation,Standard deviation,Lag-1 AC,Lag-2 AC,Smax
1,x,0,-0.33408738636839685,-0.6938544677642329,0.9109379581919484,-0.4555737086841775,0.9137866029910772,0.9109379581919484,-0.9484730426039966,0.8900758242218593,0.9636363636363636
2,x,0,0.08282015835113737,-0.46110343094130957,0.43940346026559424,0.25432533199279467,0.44091156633572126,0.43940346026559424,-0.9494784466507478,0.3452306145532236,0.6363636363636364
3,x,0,-0.23849021825646183,-0.01981483808805664,0.8093083657995058,0.3243684805831344,0.8275732059821541,0.8093083657995058,-0.9511541200620001,0.5662519374973819,0.7454545454545454
4,x,0,0.26245234803736756,-0.7359976540572244,0.4805412425118345,-0.3713711197687571,0.47333584684345026,0.4805412425118345,-0.9784675966654099,0.6399815675924764,0.45454545454545453
5,x,0,0.7836705626073479,-0.8153407900800135,0.8005948640609946,0.6430815634032927,0.8099786351640066,0.8005948640609946,-0.9593649197771354,0.847011017552679,0.8909090909090909
6,x,0,0.4433412927820368,-0.6354572493820955,0.5958275732059822,0.4780277323949563,0.6071383687319342,0.5958275732059822,-0.9680784215156467,0.65455992627037,0.6000000000000001
7,x,0,-0.502408780528675,-0.6983787859746137,0.8399731892254201,-0.68187340287378,0.837627246449667,0.8399731892254201,-0.9790540823593482,0.6956977085166102,0.8181818181818182
8,x,0,-0.43286833396171087,-0.4982195970005446,0.07150936282518539,0.14976331113066066,0.05114993087847179,0.07150936282518539,-0.958191948389259,0.5081898537974949,0.38181818181818183
9,x,0,-0.1720497675003142,-0.8470948012232417,0.6570734363872482,-0.2846550207364585,0.6642788320556324,0.6570734363872482,-0.9807297557706004,0.9225001047295882,0.9272727272727274
10,x,0,0.40538729001717566,-0.8032759415189981,0.6858950190607851,-0.09857148841690756,0.6962004105399858,0.6858950190607851,-0.9787189476770979,0.8662812617820788,0.8181818181818182
11,x,0,0.6171086255288845,-0.5148087637719408,0.8674542331699553,-0.07385530560093839,0.8652758577353274,0.8674542331699553,-0.9300406350802229,0.4226467261530728,0.7818181818181819
12,x,0,-0.1879686649072096,-0.8873109630932933,0.8697163922751457,0.033471576389761636,0.8723136860625865,0.8697163922751457,-0.9794730007121614,0.6764274642872106,0.9636363636363636
13,x,0,0.1708767961124377,-0.7742030078337733,0.3277198274056387,-0.48741150349796825,0.3166603828913745,0.3277198274056387,-0.98039462108835,0.6770977336517113,0.6000000000000001
14,x,0,0.0007959448703447698,-0.6360437350760337,0.8979514892547444,0.3940764944912237,0.8983704076075574,0.8979514892547444,-0.964391940010892,0.9157974110845798,0.9636363636363636
15,x,0,0.6848896150140338,-0.8318461731808471,0.2319550919525785,-0.44568723555778983,0.2519793892170416,0.2319550919525785,-0.9514054710736878,0.4777763813832685,0.3090909090909091
16,x,0,-0.23857400192702446,-0.6814544845209669,0.16911733903062295,-0.6628545096560681,0.16601734321980646,0.16911733903062295,-0.9692513929035231,0.5953248711826066,0.23636363636363636
17,x,0,-0.11800929998743245,-0.6793598927569018,0.4708223367265721,-0.4297683381508945,0.4285115830924553,0.4708223367265721,-0.9743621968078423,0.7248544258723975,0.8909090909090909
18,x,0,0.020652674793682713,-0.8774244899669056,0.870470445310209,-0.2854928574420846,0.8857190733526036,0.870470445310209,-0.9727703070671527,0.8148380880566378,1.0
19,x,0,-0.6294248251015878,-0.7287922583888401,0.941351430606175,0.43278455029114826,0.943278455029115,0.941351430606175,-0.9756189518662814,0.8490218256461817,1.0
20,x,0,0.5162330861715052,-0.34531439822378623,0.7157220057810734,-0.32545766830044826,0.717062544510075,0.7157220057810734,-0.9710946336559004,0.7418625109966068,0.7454545454545454
21,x,0,0.30702526077667464,-0.28540907377152197,0.5600519458757488,-0.2658036948598718,0.5677600435675088,0.5600519458757488,-0.9551757362490052,0.7922164970047338,0.6000000000000001
22,x,0,0.5624816723220645,-0.7406057559381678,0.8166813288090151,0.26161451133174146,0.8155921410917013,0.8166813288090151,-0.9777135436303465,0.6985463533157388,0.9636363636363636
23,x,0,0.30786309748230073,-0.367768421934565,0.691676092329605,0.5720330107662017,0.6894977168949772,0.691676092329605,-0.971429768338151,0.8237191571362742,0.8181818181818182
24,x,0,0.2243307779313812,-0.903983913535252,0.5934816304302292,0.036822923212265934,0.5893762305726614,0.5934816304302292,-0.971429768338151,0.8806082694482846,0.7090909090909091
25,x,0,0.38251434795358386,-0.7965732478739894,0.6114951196011897,0.6143437644003183,0.6135059276946924,0.6114951196011897,-0.971429768338151,0.7190733526035776,0.7454545454545454
26,x,0,-0.306522558753299,-0.6455112898496084,0.8940974404088645,0.5233546981693269,0.9037325625235643,0.8940974404088645,-0.9710946336559004,0.6755896275815844,1.0
27,x,0,-0.2667253152360605,-0.4324494156088978,0.6457626408612962,-0.36961166268694234,0.6362950860877216,0.6457626408612962,-0.9692513929035231,0.5084412048091828,0.6363636363636364
28,x,0,0.6605923505508777,-0.7425327803611077,0.7276192870009636,0.2711658497758787,0.7268652339659001,0.7276192870009636,-0.965229776716518,0.7231787524611454,0.6727272727272727
29,x,0,-0.2348037367517071,-0.875413681873403,0.7446273721251728,-0.7380922458212895,0.7503246617234302,0.7446273721251728,-0.9792216497004734,0.8109840392107579,0.7818181818181819
30,x,0,0.16551464119643083,-0.7968245988856772,0.804365129236312,-0.6501193917305518,0.807129990364878,0.804365129236312,-0.9755351681957188,0.9478865569100584,0.9636363636363636
31,x,0,-0.08173097063382347,-0.8400569728959827,0.821624565372209,-0.7467219638892381,0.8103975535168196,0.821624565372209,-0.9706757153030875,0.8929244690209879,0.8545454545454545
32,x,0,0.5201709186879478,-0.5112060659377488,0.8285786100289054,-0.2244145616019438,0.8341083322860376,0.8285786100289054,-0.9802270537472249,0.7546814125926857,0.8545454545454545
33,x,0,0.31950902769050316,-0.7937246030748608,0.7128733609819446,-0.3299819865108291,0.723262536131708,0.7128733609819446,-0.9638054543169539,0.8468434502115538,0.7454545454545454
34,x,0,-0.11348498177705166,-0.7942273050982365,0.7467219638892381,0.11876335302249592,0.738846298856353,0.7467219638892381,-0.9648946420342677,0.8459218298353652,0.8545454545454545
35,x,0,0.22039294541493865,-0.8123245779397597,0.7582003267563152,-0.2483766913828495,0.7578651920740648,0.7582003267563152,-0.9678270705039588,0.7378408948096017,0.9636363636363636
36,x,0,0.2108416069708014,-0.6547274936114952,0.6435842654266685,-0.4957060868836664,0.6430815634032927,0.6435842654266685,-0.9645595073520171,0.8316786058397219,0.6727272727272727
37,x,0,0.2037199949729798,-0.8553056009383772,0.8491056093167443,-0.5357546814125927,0.850446148045746,0.8491056093167443,-0.9819865108290395,0.7225084830966446,0.9636363636363636
38,x,0,0.23974697331490094,-0.7937246030748608,0.7403544049264799,-0.6841355619789703,0.7318922541996565,0.7403544049264799,-0.9582757320598216,0.5860248837501572,0.4909090909090909
39,x,0,0.09605797830002934,-0.3815927275773952,0.8220434837250221,-0.6339491433119686,0.8061245863181267,0.8220434837250221,-0.9859243433454821,0.4869925851451553,0.8545454545454545
40,x,0,-0.6883247455071008,-0.697457165598425,0.11423903481211513,0.33668468015583763,0.08357421138620084,0.11423903481211513,-0.9417703489589879,0.8912487956097358,0.6000000000000001
41,x,0,-0.021825646181559216,-0.7664949101420134,0.6107410665661263,0.5525951991956768,0.6348707636881572,0.6107410665661263,-0.9677432868333964,0.5939005487830423,0.7090909090909091
42,x,0,-0.13610657282895566,-0.8798542164132211,0.8244732101713377,-0.17062544510074987,0.8230488877717733,0.8244732101713377,-0.9730216580788407,0.7352436010221609,0.9272727272727274
43,x,0,0.08349042771563824,-0.7385949478446652,0.8429894013656739,0.03497968245988858,0.8494407439989946,0.8429894013656739,-0.9705081479619623,0.8178543001968918,0.8545454545454545
44,x,0,0.4512169578149219,-0.8409785932721713,0.6496166897071761,-0.3578819488081773,0.654978844623183,0.6496166897071761,-0.9756189518662814,0.7403544049264799,0.7818181818181819
45,x,0,-0.5930627120774161,-0.8736542247915883,0.31020904025805374,-0.7749570608688368,0.32864144778182736,0.31020904025805374,-0.9630514012818903,0.4569142474131792,0.6727272727272727
46,x,0,0.4309413095387709,-0.522265510452013,0.38796028654015335,-0.6636085626911316,0.4088224205102426,0.38796028654015335,-0.9318000921620376,0.6708977420300785,0.2
47,x,0,0.4507142557915463,-0.8650245067236397,0.9208244313183361,0.2699090947174396,0.9208244313183361,0.9208244313183361,-0.9873486657450464,0.8550542499266894,0.8181818181818182
48,x,0,0.31062795861086673,0.1070336391437309,0.924678480164216,0.13250387499476354,0.9232541577646517,0.924678480164216,-0.9576054626953208,0.4651250471283147,0.9272727272727274
49,x,0,0.18193624062670188,-0.7360814377277869,0.8537974948682503,-0.6299275271249634,0.8528758744920616,0.8537974948682503,-0.9724351723849022,0.8362029240501028,0.8909090909090909
50,x,0,-0.12060659377487327,-0.4800385404884589,0.22131456579112732,-0.2911901470403419,0.2415902140672783,0.22131456579112732,-0.9717649030204013,0.8136651166687614,0.34545454545454546
51,x,0,0.08784717858489381,-0.47157638976163546,0.6322734699007164,0.6470193959197353,0.6371329227933477,0.6322734699007164,-0.9834108332286039,0.6634409953500063,0.6000000000000001
52,x,0,-0.4782790834066441,-0.5357546814125927,0.7407733232792929,-0.42541158728163886,0.7575300573918144,0.7407733232792929,-0.9773784089480961,0.8795190817309708,0.7090909090909091
53,x,0,0.025763478698001763,-0.7833354279250975,0.6156005194587576,-0.5481546646558587,0.616354572493821,0.6156005194587576,-0.971010849985338,0.7130409283230699,0.8545454545454545
54,x,0,-0.6367977881110972,-0.6293410414310252,0.9129487662854511,0.018725650370742742,0.9203217292949606,0.9129487662854511,-0.9682459888567719,0.777051652632902,0.6727272727272727
55,x,0,-0.16584977587868124,-0.750994931087931,0.6646139667378829,-0.24167399773784093,0.6718193624062672,0.6646139667378829,-0.962045997235139,0.7856813707008505,0.8181818181818182
56,x,0,0.3732143605211345,-0.7596246491558796,0.8025218884839346,-0.4523899292027984,0.8183570022202673,0.8025218884839346,-0.9810648904528507,0.8741569268149639,0.7818181818181819
57,x,0,-0.39692513929035234,-0.8052867496125006,0.7897867705584183,0.32260902350131965,0.7942273050982365,0.7897867705584183,-0.9800594864060995,0.8755812492145283,0.8545454545454545
58,x,0,-0.31439822378618415,-0.8377110301202296,0.9009677013949982,-0.06698504461480458,0.89845419127812,0.9009677013949982,-0.9796405680532865,0.8195299736081438,0.9272727272727274
59,x,0,-0.42867915043358057,-0.7370868417745382,0.5940681161241674,-0.5805789451635877,0.6105734992250011,0.5940681161241674,-0.9791378660299108,0.6689707176071384,0.4909090909090909
60,x,0,0.7008085124209292,-0.8739893594738386,0.7534246575342467,-0.13526873612332957,0.7314733358468435,0.7534246575342467,-0.9719324703615266,0.7779732730090906,0.6363636363636364
61,x,0,0.07209584851912364,-0.6920112270118555,0.7504922290645555,-0.8211218633488334,0.7465543965481128,0.7504922290645555,-0.9677432868333964,0.8713920656863978,0.9272727272727274
62,x,0,-0.319760378702191,-0.8456704788236773,0.86921369025177,-0.19609568095178254,0.8691299065812074,0.86921369025177,-0.9762054375602197,0.7085166101126891,0.8909090909090909
63,x,0,0.7168111934983873,-0.4685601776213817,0.8563947886556911,0.6247329395500818,0.8544677642327512,0.8563947886556911,-0.9668216664572076,0.8616731599011354,0.7818181818181819
64,x,0,0.5200871350173851,-0.8601650538310084,0.7376733274684765,-0.6356248167232207,0.7467219638892381,0.7376733274684765,-0.9838297515814168,0.7939759540865485,0.7818181818181819
65,x,0,0.6307653638305896,-0.25918478488542585,0.6357923840643459,0.6336977923002808,0.6315194168656529,0.6357923840643459,-0.978048678312597,0.7670813958359516,0.45454545454545453
66,x,0,0.049390473796657036,-0.662435591303255,0.8765028695907168,-0.22382807590800555,0.873905575803276,0.8765028695907168,-0.9697540949268989,0.8892379875162332,0.8909090909090909
67,x,0,0.5153952494658791,-0.8349461689916635,0.8070462066943154,0.6029491852038038,0.8181056512085795,0.8070462066943154,-0.9772108416069709,0.7986678396380547,0.9636363636363636
68,x,0,0.4823844832642119,-0.7303841481295297,0.7605462695320683,-0.14163629508608774,0.7611327552260065,0.7605462695320683,-0.9734405764316536,0.9325541451971011,0.8181818181818182
69,x,0,-0.6022789158393029,-0.29110636336977924,0.7677516652004525,-0.13577143814670523,0.7712705793640819,0.7677516652004525,-0.9139541703322023,0.539106028235097,0.8909090909090909
70,x,0,0.16291734740899,-0.3050144526831721,0.8787650286959073,-0.10284445561560053,0.8742407104855265,0.8787650286959073,-0.9679108541745214,0.8729839554270874,0.9636363636363636
71,x,0,0.7569435716978762,-0.7055003979724352,0.6732436848058314,-0.14892547442503457,0.6791923254157765,0.6732436848058314,-0.9772946252775335,0.8936785220560514,0.7090909090909091
72,x,0,0.10870931255498305,-0.7861840727242261,0.7272841523187131,-0.6626031586443804,0.7432030497256086,0.7272841523187131,-0.9557622219429435,0.7140463323698212,0.8909090909090909
73,x,0,0.4090737715219304,-0.7352436010221609,0.7051652632901848,-0.41292782036781034,0.7037409408906206,0.7051652632901848,-0.9813162414645387,0.8932596037032383,0.9636363636363636
74,x,0,-0.48447907502827703,-0.7585354614385657,0.7781408403502159,0.06790666499099327,0.7916300113107957,0.7781408403502159,-0.9726865233965901,0.7564408696745004,0.6000000000000001
75,x,0,-0.08826609693770684,-0.3030874282602321,0.5304763101671485,-0.6490302040132379,0.5168195718654435,0.5304763101671485,-0.9645595073520171,0.7668300448242639,0.6363636363636364
76,x,0,-0.19064974236521304,-0.6678815298898245,0.6830463742616565,-0.6914247413179172,0.6853085333668469,0.6830463742616565,-0.9757865192074066,0.6252356415734573,0.7818181818181819
77,x,0,0.3975954086548532,-0.7634786980017595,0.48204934858196147,-0.06807423233211847,0.4703196347031964,0.48204934858196147,-0.9661513970927067,0.24527669557203305,0.6000000000000001
78,x,0,-0.05223911859578569,-0.5539357379246785,0.4801223241590214,0.0444472372334632,0.49369527879016384,0.4801223241590214,-0.9571027606719452,0.5251141552511416,0.6363636363636364
79,x,0,0.19693351765740857,-0.9169703824724562,0.366260315864438,0.4867412341334674,0.33785765154371417,0.366260315864438,-0.9607054585061372,0.7461354781952998,0.6363636363636364
80,x,0,0.8044489129068746,-0.9149595743789537,0.7112814712412552,0.3692765280046919,0.704913912278497,0.7112814712412552,-0.9914540656026143,0.7866029910770392,0.6363636363636364
81,x,0,-0.41041431025093217,-0.791546227640233,0.38796028654015335,-0.38787650286959074,0.37866029910770393,0.38796028654015335,-0.9726027397260275,0.6802815131330904,0.8181818181818182
82,x,0,-0.13350927904151483,-0.915294709061204,0.6723220644296427,-0.2983117590381635,0.6333626576180303,0.6723220644296427,-0.9828243475346656,0.8168488961501404,0.6363636363636364
83,x,0,-0.6770139499811487,-0.5145574127602531,0.7712705793640819,-0.4171170038959407,0.7780570566796532,0.7712705793640819,-0.9711784173264632,0.924678480164216,0.7818181818181819
84,x,0,-0.09522014159440326,-0.8308407691340959,0.7626408612961335,-0.5863600184324076,0.7680030162121403,0.7626408612961335,-0.9753676008545935,0.6296761761132756,0.8909090909090909
85,x,0,0.004482426375099493,-0.7118679569351934,0.7810732688199071,0.4576683004482427,0.7695111222822673,0.7810732688199071,-0.9560973566251938,0.6795274600980269,0.7818181818181819
86,x,0,0.5774789493527712,-0.5630681580160027,0.7468895312303633,-0.06120397134598468,0.7297138787650288,0.7468895312303633,-0.9495622303213105,0.713878765028696,0.8181818181818182
87,x,0,0.15822546185748398,-0.38234678061245864,0.5772275983410834,-0.6685517992543254,0.5612249172636253,0.5772275983410834,-0.9728540907377153,0.5727870638012652,0.8909090909090909
88,x,0,0.5193330819823216,-0.8626785639478866,0.670143688995015,0.5026601315403628,0.679108541745214,0.670143688995015,-0.9645595073520171,0.6007708097691761,0.6000000000000001
89,x,0,0.1128147124125508,-0.08776339491433122,0.37120355242763187,0.34313602278915845,0.37070085040425627,0.37120355242763187,-0.9808135394411631,0.7655732897658247,0.6363636363636364
90,x,0,0.13392819739432785,-0.8777596246491559,0.7309706338234679,0.1982740563864103,0.7101922835239413,0.7309706338234679,-0.9866783963805456,0.7292949604122158,0.8909090909090909
91,x,0,-0.41234133467387213,-0.4569980310837419,0.8129948473042605,-0.07000125675505844,0.8251434795358386,0.8129948473042605,-0.9706757153030875,0.7122030916174439,0.8181818181818182
92,x,0,-0.4668007205395669,-0.7799002974320306,0.6896652842361024,0.12496334464412887,0.6839679946378452,0.6896652842361024,-0.9700892296091492,0.9312136064680995,0.8545454545454545
93,x,0,-0.13996062167483558,-0.8021867538016841,0.1549578987055423,0.30560093837711033,0.1329227933475766,0.1549578987055423,-0.9687486908801476,0.8795190817309708,0.8545454545454545
94,x,0,-0.16367140044405348,-0.8884001508106071,0.44225210506472296,-0.3428846717774706,0.4436764274642872,0.44225210506472296,-0.9658162624104563,0.48204934858196147,0.6363636363636364
95,x,0,0.04134724142264673,-0.7092706631477526,0.8315110384985968,0.5614762682753132,0.8218759163838969,0.8315110384985968,-0.9696703112563363,0.8360353567089776,0.8909090909090909
96,x,0,0.5705249046960749,-0.3257928029826987,0.7150517364165725,-0.37271165849775884,0.7059193163252483,0.7150517364165725,-0.9814000251351013,0.8087218801055676,1.0
97,x,0,-0.09773365171128148,-0.7413598089732312,0.4644547777638139,0.5355871140714675,0.47693854467764235,0.4644547777638139,-0.9684973398684597,0.5993464873696117,0.6727272727272727
98,x,0,0.10301202295672575,-0.7819948891960958,0.618700515269574,-0.1149930878471786,0.6029491852038038,0.618700515269574,-0.9447865610992418,0.7545976289221231,0.7818181818181819
99,x,0,-0.38553056009383774,-0.637049139122785,0.8119894432575092,0.0534958736542248,0.8162624104562022,0.8119894432575092,-0.9532487118260653,0.6118302542834402,0.8545454545454545
100,x,0,-0.1550416823761049,-0.6824598885677182,0.6925977127057937,-0.589041095890411,0.6833815089439069,0.6925977127057937,-0.9860081270160447,0.7838381299484731,0.7818181818181819
