Realisation number,Variable,Time,Frequency,Empirical
1,x,199.0,-3.141592653589793,0.0010521343912823244
1,x,199.0,-2.9845130209103035,0.0011729729648555182
1,x,199.0,-2.827433388230814,0.001326296596627624
1,x,199.0,-2.6703537555513246,0.0011718701662280615
1,x,199.0,-2.5132741228718345,0.0013713148603015626
1,x,199.0,-2.356194490192345,0.0011806552096858779
1,x,199.0,-2.199114857512855,0.001660552706902934
1,x,199.0,-2.0420352248333655,0.0019027610789581206
1,x,199.0,-1.884955592153876,0.0014026356062909107
1,x,199.0,-1.7278759594743864,0.0012139293180381471
1,x,199.0,-1.5707963267948966,0.0014391164225655531
1,x,199.0,-1.413716694115407,0.0013020409033647957
1,x,199.0,-1.2566370614359172,0.0015352042570395989
1,x,199.0,-1.0995574287564276,0.002052074348117289
1,x,199.0,-0.942477796076938,0.0014820371566064867
1,x,199.0,-0.7853981633974483,0.0023140525473465986
1,x,199.0,-0.6283185307179586,0.002306107047312956
1,x,199.0,-0.471238898038469,0.002563132423173392
1,x,199.0,-0.3141592653589793,0.002489449713855088
1,x,199.0,-0.15707963267948966,0.0027979326705805017
1,x,199.0,0.0,0.0013745476337825944
1,x,199.0,0.15707963267948966,0.0027979326705805017
1,x,199.0,0.3141592653589793,0.002489449713855088
1,x,199.0,0.471238898038469,0.002563132423173392
1,x,199.0,0.6283185307179586,0.002306107047312956
1,x,199.0,0.7853981633974483,0.0023140525473465986
1,x,199.0,0.942477796076938,0.0014820371566064867
1,x,199.0,1.0995574287564276,0.002052074348117289
1,x,199.0,1.2566370614359172,0.0015352042570395989
1,x,199.0,1.413716694115407,0.0013020409033647957
1,x,199.0,1.5707963267948966,0.0014391164225655531
1,x,199.0,1.7278759594743864,0.0012139293180381471
1,x,199.0,1.884955592153876,0.0014026356062909107
1,x,199.0,2.0420352248333655,0.0019027610789581206
1,x,199.0,2.199114857512855,0.001660552706902934
1,x,199.0,2.356194490192345,0.0011806552096858779
1,x,199.0,2.5132741228718345,0.0013713148603015626
1,x,199.0,2.6703537555513246,0.0011718701662280615
1,x,199.0,2.827433388230814,0.001326296596627624
1,x,199.0,2.9845130209103035,0.0011729729648555182
1,x,199.0,3.141592653589793,0.0010521343912823244
1,x,219.0,-3.141592653589793,0.0011965160026079923
1,x,219.0,-2.9845130209103035,0.0011400265556818327
1,x,219.0,-2.827433388230814,0.0012348471457386484
1,x,219.0,-2.6703537555513246,0.000857252802273745
1,x,219.0,-2.5132741228718345,0.0008290816378290998
1,x,219.0,-2.356194490192345,0.0009208105243025301
1,x,219.0,-2.199114857512855,0.0017333444820275402
1,x,219.0,-2.0420352248333655,0.0020436325737129865
1,x,219.0,-1.884955592153876,0.001593331688032162
1,x,219.0,-1.7278759594743864,0.001299576409788143
1,x,219.0,-1.5707963267948966,0.0012318397511791482
1,x,219.0,-1.413716694115407,0.0010163382261110935
1,x,219.0,-1.2566370614359172,0.0011819839546676613
1,x,219.0,-1.0995574287564276,0.0016935671316997193
1,x,219.0,-0.942477796076938,0.0016390792622208805
1,x,219.0,-0.7853981633974483,0.0029244990370665414
1,x,219.0,-0.6283185307179586,0.003787916560884469
1,x,219.0,-0.471238898038469,0.004854967106889806
1,x,219.0,-0.3141592653589793,0.004935697214469052
1,x,219.0,-0.15707963267948966,0.004493060892830311
1,x,219.0,0.0,0.0014664538002771904
1,x,219.0,0.15707963267948966,0.004493060892830311
1,x,219.0,0.3141592653589793,0.004935697214469052
1,x,219.0,0.471238898038469,0.004854967106889806
1,x,219.0,0.6283185307179586,0.003787916560884469
1,x,219.0,0.7853981633974483,0.0029244990370665414
1,x,219.0,0.942477796076938,0.0016390792622208805
1,x,219.0,1.0995574287564276,0.0016935671316997193
1,x,219.0,1.2566370614359172,0.0011819839546676613
1,x,219.0,1.413716694115407,0.0010163382261110935
1,x,219.0,1.5707963267948966,0.0012318397511791482
1,x,219.0,1.7278759594743864,0.001299576409788143
1,x,219.0,1.884955592153876,0.001593331688032162
1,x,219.0,2.0420352248333655,0.0020436325737129865
1,x,219.0,2.199114857512855,0.0017333444820275402
1,x,219.0,2.356194490192345,0.0009208105243025301
1,x,219.0,2.5132741228718345,0.0008290816378290998
1,x,219.0,2.6703537555513246,0.000857252802273745
1,x,219.0,2.827433388230814,0.0012348471457386484
1,x,219.0,2.9845130209103035,0.0011400265556818327
1,x,219.0,3.141592653589793,0.0011965160026079923
1,x,239.0,-3.141592653589793,0.0011778201310806264
1,x,239.0,-2.9845130209103035,0.0010910370955217951
1,x,239.0,-2.827433388230814,0.0011422697644092367
1,x,239.0,-2.6703537555513246,0.0008038848785823441
1,x,239.0,-2.5132741228718345,0.0007608729566408912
1,x,239.0,-2.356194490192345,0.0008962918610190809
1,x,239.0,-2.199114857512855,0.0014862946188823308
1,x,239.0,-2.0420352248333655,0.0016969753809388682
1,x,239.0,-1.884955592153876,0.001824756548438818
1,x,239.0,-1.7278759594743864,0.0015149979816909576
1,x,239.0,-1.5707963267948966,0.0013066476075596662
1,x,239.0,-1.413716694115407,0.0009473325586910159
1,x,239.0,-1.2566370614359172,0.0007870785873538229
1,x,239.0,-1.0995574287564276,0.0011185090884528346
1,x,239.0,-0.942477796076938,0.0016246524057857814
1,x,239.0,-0.7853981633974483,0.0029898592092702345
1,x,239.0,-0.6283185307179586,0.0038351066508525555
1,x,239.0,-0.471238898038469,0.005053618089722726
1,x,239.0,-0.3141592653589793,0.00503046077159543
1,x,239.0,-0.15707963267948966,0.004875230769762608
1,x,239.0,0.0,0.0014738567325875427
1,x,239.0,0.15707963267948966,0.004875230769762608
1,x,239.0,0.3141592653589793,0.00503046077159543
1,x,239.0,0.471238898038469,0.005053618089722726
1,x,239.0,0.6283185307179586,0.0038351066508525555
1,x,239.0,0.7853981633974483,0.0029898592092702345
1,x,239.0,0.942477796076938,0.0016246524057857814
1,x,239.0,1.0995574287564276,0.0011185090884528346
1,x,239.0,1.2566370614359172,0.0007870785873538229
1,x,239.0,1.413716694115407,0.0009473325586910159
1,x,239.0,1.5707963267948966,0.0013066476075596662
1,x,239.0,1.7278759594743864,0.0015149979816909576
1,x,239.0,1.884955592153876,0.001824756548438818
1,x,239.0,2.0420352248333655,0.0016969753809388682
1,x,239.0,2.199114857512855,0.0014862946188823308
1,x,239.0,2.356194490192345,0.0008962918610190809
1,x,239.0,2.5132741228718345,0.0007608729566408912
1,x,239.0,2.6703537555513246,0.0008038848785823441
1,x,239.0,2.827433388230814,0.0011422697644092367
1,x,239.0,2.9845130209103035,0.0010910370955217951
1,x,239.0,3.141592653589793,0.0011778201310806264
1,x,259.0,-3.141592653589793,0.000412738820652118
1,x,259.0,-2.9845130209103035,0.0007144751287411524
1,x,259.0,-2.827433388230814,0.0012165642392515984
1,x,259.0,-2.6703537555513246,0.0009256869270389917
1,x,259.0,-2.5132741228718345,0.000730178399073412
1,x,259.0,-2.356194490192345,0.000562257833065054
1,x,259.0,-2.199114857512855,0.0009514881685938568
1,x,259.0,-2.0420352248333655,0.0017959539458719646
1,x,259.0,-1.884955592153876,0.001877262033598511
1,x,259.0,-1.7278759594743864,0.0015780792674870954
1,x,259.0,-1.5707963267948966,0.0015414889692658663
1,x,259.0,-1.413716694115407,0.0017527282808901554
1,x,259.0,-1.2566370614359172,0.001527078619164006
1,x,259.0,-1.0995574287564276,0.0014269130399322317
1,x,259.0,-0.942477796076938,0.001840396276877974
1,x,259.0,-0.7853981633974483,0.003188497891353024
1,x,259.0,-0.6283185307179586,0.0038741574374307813
1,x,259.0,-0.471238898038469,0.005729166552985588
1,x,259.0,-0.3141592653589793,0.006277633878342847
1,x,259.0,-0.15707963267948966,0.004929359112039329
1,x,259.0,0.0,0.0014741047931991534
1,x,259.0,0.15707963267948966,0.004929359112039329
1,x,259.0,0.3141592653589793,0.006277633878342847
1,x,259.0,0.471238898038469,0.005729166552985588
1,x,259.0,0.6283185307179586,0.0038741574374307813
1,x,259.0,0.7853981633974483,0.003188497891353024
1,x,259.0,0.942477796076938,0.001840396276877974
1,x,259.0,1.0995574287564276,0.0014269130399322317
1,x,259.0,1.2566370614359172,0.001527078619164006
1,x,259.0,1.413716694115407,0.0017527282808901554
1,x,259.0,1.5707963267948966,0.0015414889692658663
1,x,259.0,1.7278759594743864,0.0015780792674870954
1,x,259.0,1.884955592153876,0.001877262033598511
1,x,259.0,2.0420352248333655,0.0017959539458719646
1,x,259.0,2.199114857512855,0.0009514881685938568
1,x,259.0,2.356194490192345,0.000562257833065054
1,x,259.0,2.5132741228718345,0.000730178399073412
1,x,259.0,2.6703537555513246,0.0009256869270389917
1,x,259.0,2.827433388230814,0.0012165642392515984
1,x,259.0,2.9845130209103035,0.0007144751287411524
1,x,259.0,3.141592653589793,0.000412738820652118
1,x,279.0,-3.141592653589793,0.0003395376587196926
1,x,279.0,-2.9845130209103035,0.0007942661226328696
1,x,279.0,-2.827433388230814,0.001331854196940558
1,x,279.0,-2.6703537555513246,0.000915931173538673
1,x,279.0,-2.5132741228718345,0.0006694353265532253
1,x,279.0,-2.356194490192345,0.0005263407110191153
1,x,279.0,-2.199114857512855,0.0007375454207656236
1,x,279.0,-2.0420352248333655,0.001667091132685696
1,x,279.0,-1.884955592153876,0.0018800306540647698
1,x,279.0,-1.7278759594743864,0.0015569039977674625
1,x,279.0,-1.5707963267948966,0.0015335312930759314
1,x,279.0,-1.413716694115407,0.001755055155140047
1,x,279.0,-1.2566370614359172,0.001577806857418773
1,x,279.0,-1.0995574287564276,0.001361734281930853
1,x,279.0,-0.942477796076938,0.0015350179338463855
1,x,279.0,-0.7853981633974483,0.002684392203397442
1,x,279.0,-0.6283185307179586,0.0040888113644120105
1,x,279.0,-0.471238898038469,0.00545875308330028
1,x,279.0,-0.3141592653589793,0.0065526115689173116
1,x,279.0,-0.15707963267948966,0.0049410389370115725
1,x,279.0,0.0,0.001380121168443128
1,x,279.0,0.15707963267948966,0.0049410389370115725
1,x,279.0,0.3141592653589793,0.0065526115689173116
1,x,279.0,0.471238898038469,0.00545875308330028
1,x,279.0,0.6283185307179586,0.0040888113644120105
1,x,279.0,0.7853981633974483,0.002684392203397442
1,x,279.0,0.942477796076938,0.0015350179338463855
1,x,279.0,1.0995574287564276,0.001361734281930853
1,x,279.0,1.2566370614359172,0.001577806857418773
1,x,279.0,1.413716694115407,0.001755055155140047
1,x,279.0,1.5707963267948966,0.0015335312930759314
1,x,279.0,1.7278759594743864,0.0015569039977674625
1,x,279.0,1.884955592153876,0.0018800306540647698
1,x,279.0,2.0420352248333655,0.001667091132685696
1,x,279.0,2.199114857512855,0.0007375454207656236
1,x,279.0,2.356194490192345,0.0005263407110191153
1,x,279.0,2.5132741228718345,0.0006694353265532253
1,x,279.0,2.6703537555513246,0.000915931173538673
