Realisation number,Variable,Time,Frequency,Empirical
1,x,249.0,-3.141592653589793,0.005632858428675376
1,x,249.0,-2.9845130209103035,0.0033110415936480272
1,x,249.0,-2.827433388230814,0.004336927598569697
1,x,249.0,-2.6703537555513246,0.00528861686290671
1,x,249.0,-2.5132741228718345,0.004214745239277059
1,x,249.0,-2.356194490192345,0.0023939031383626848
1,x,249.0,-2.199114857512855,0.00521473656784641
1,x,249.0,-2.0420352248333655,0.009283204897539322
1,x,249.0,-1.884955592153876,0.008234829107839016
1,x,249.0,-1.7278759594743864,0.007158051379409017
1,x,249.0,-1.5707963267948966,0.010365069659300159
1,x,249.0,-1.413716694115407,0.007088740260997433
1,x,249.0,-1.2566370614359172,0.011092038452838864
1,x,249.0,-1.0995574287564276,0.005424202263805587
1,x,249.0,-0.942477796076938,0.007621321667378869
1,x,249.0,-0.7853981633974483,0.008679273585193147
1,x,249.0,-0.6283185307179586,0.013566181493754898
1,x,249.0,-0.471238898038469,0.014628762936053892
1,x,249.0,-0.3141592653589793,0.018441475113686257
1,x,249.0,-0.15707963267948966,0.012554465394202824
1,x,249.0,0.0,0.0020869513578555183
1,x,249.0,0.15707963267948966,0.012554465394202824
1,x,249.0,0.3141592653589793,0.018441475113686257
1,x,249.0,0.471238898038469,0.014628762936053892
1,x,249.0,0.6283185307179586,0.013566181493754898
1,x,249.0,0.7853981633974483,0.008679273585193147
1,x,249.0,0.942477796076938,0.007621321667378869
1,x,249.0,1.0995574287564276,0.005424202263805587
1,x,249.0,1.2566370614359172,0.011092038452838864
1,x,249.0,1.413716694115407,0.007088740260997433
1,x,249.0,1.5707963267948966,0.010365069659300159
1,x,249.0,1.7278759594743864,0.007158051379409017
1,x,249.0,1.884955592153876,0.008234829107839016
1,x,249.0,2.0420352248333655,0.009283204897539322
1,x,249.0,2.199114857512855,0.00521473656784641
1,x,249.0,2.356194490192345,0.0023939031383626848
1,x,249.0,2.5132741228718345,0.004214745239277059
1,x,249.0,2.6703537555513246,0.00528861686290671
1,x,249.0,2.827433388230814,0.004336927598569697
1,x,249.0,2.9845130209103035,0.0033110415936480272
1,x,249.0,3.141592653589793,0.005632858428675376
1,x,269.0,-3.141592653589793,0.005621717987259817
1,x,269.0,-2.9845130209103035,0.0034917753617031005
1,x,269.0,-2.827433388230814,0.00494543233096505
1,x,269.0,-2.6703537555513246,0.005837358140791561
1,x,269.0,-2.5132741228718345,0.00528264735664158
1,x,269.0,-2.356194490192345,0.0033651771753362854
1,x,269.0,-2.199114857512855,0.003976292681848893
1,x,269.0,-2.0420352248333655,0.005029301336207633
1,x,269.0,-1.884955592153876,0.0075624698130669485
1,x,269.0,-1.7278759594743864,0.00692709967914508
1,x,269.0,-1.5707963267948966,0.008520128411302268
1,x,269.0,-1.413716694115407,0.006732096322294062
1,x,269.0,-1.2566370614359172,0.011053720456240574
1,x,269.0,-1.0995574287564276,0.005566697936682501
1,x,269.0,-0.942477796076938,0.008364386269114583
1,x,269.0,-0.7853981633974483,0.008326158714922875
1,x,269.0,-0.6283185307179586,0.01348768979698952
1,x,269.0,-0.471238898038469,0.015574862793481935
1,x,269.0,-0.3141592653589793,0.019804383972929638
1,x,269.0,-0.15707963267948966,0.013266218305361841
1,x,269.0,0.0,0.002491516054494898
1,x,269.0,0.15707963267948966,0.013266218305361841
1,x,269.0,0.3141592653589793,0.019804383972929638
1,x,269.0,0.471238898038469,0.015574862793481935
1,x,269.0,0.6283185307179586,0.01348768979698952
1,x,269.0,0.7853981633974483,0.008326158714922875
1,x,269.0,0.942477796076938,0.008364386269114583
1,x,269.0,1.0995574287564276,0.005566697936682501
1,x,269.0,1.2566370614359172,0.011053720456240574
1,x,269.0,1.413716694115407,0.006732096322294062
1,x,269.0,1.5707963267948966,0.008520128411302268
1,x,269.0,1.7278759594743864,0.00692709967914508
1,x,269.0,1.884955592153876,0.0075624698130669485
1,x,269.0,2.0420352248333655,0.005029301336207633
1,x,269.0,2.199114857512855,0.003976292681848893
1,x,269.0,2.356194490192345,0.0033651771753362854
1,x,269.0,2.5132741228718345,0.00528264735664158
1,x,269.0,2.6703537555513246,0.005837358140791561
1,x,269.0,2.827433388230814,0.00494543233096505
1,x,269.0,2.9845130209103035,0.0034917753617031005
1,x,269.0,3.141592653589793,0.005621717987259817
1,x,289.0,-3.141592653589793,0.005787617655236093
1,x,289.0,-2.9845130209103035,0.003769880877462675
1,x,289.0,-2.827433388230814,0.005615261299526212
1,x,289.0,-2.6703537555513246,0.005929859848173679
1,x,289.0,-2.5132741228718345,0.004858631709390497
1,x,289.0,-2.356194490192345,0.004769412639578546
1,x,289.0,-2.199114857512855,0.004351633444932338
1,x,289.0,-2.0420352248333655,0.005145907227942099
1,x,289.0,-1.884955592153876,0.00787785049113763
1,x,289.0,-1.7278759594743864,0.0068882671512291134
1,x,289.0,-1.5707963267948966,0.0070987287982547135
1,x,289.0,-1.413716694115407,0.00843944520963394
1,x,289.0,-1.2566370614359172,0.010166349377248803
1,x,289.0,-1.0995574287564276,0.005485312949259622
1,x,289.0,-0.942477796076938,0.010804601877141475
1,x,289.0,-0.7853981633974483,0.0071797930053454
1,x,289.0,-0.6283185307179586,0.00967307863923837
1,x,289.0,-0.471238898038469,0.01420171820543964
1,x,289.0,-0.3141592653589793,0.019758946052509652
1,x,289.0,-0.15707963267948966,0.01396495429472913
1,x,289.0,0.0,0.002971028670858184
1,x,289.0,0.15707963267948966,0.01396495429472913
1,x,289.0,0.3141592653589793,0.019758946052509652
1,x,289.0,0.471238898038469,0.01420171820543964
1,x,289.0,0.6283185307179586,0.00967307863923837
1,x,289.0,0.7853981633974483,0.0071797930053454
1,x,289.0,0.942477796076938,0.010804601877141475
1,x,289.0,1.0995574287564276,0.005485312949259622
1,x,289.0,1.2566370614359172,0.010166349377248803
1,x,289.0,1.413716694115407,0.00843944520963394
1,x,289.0,1.5707963267948966,0.0070987287982547135
1,x,289.0,1.7278759594743864,0.0068882671512291134
1,x,289.0,1.884955592153876,0.00787785049113763
1,x,289.0,2.0420352248333655,0.005145907227942099
1,x,289.0,2.199114857512855,0.004351633444932338
