Realisation number,AIC fold,AIC hopf,AIC null
1,0.9999992485436848,9.033050790795418e-15,7.514563059952509e-07
2,0.9999825541404942,5.389545335807844e-11,1.744580561027831e-05
3,1.0,9.553626986646254e-20,1.2184511460563076e-17
4,0.9999999999583387,4.159514546771651e-11,6.619529851659413e-14
5,0.9999999999999141,6.037893720391181e-17,8.587474677798973e-14
6,0.9999999998835947,3.356772193511662e-13,1.1606963364089584e-10
7,0.9999999999999967,5.372785079239429e-18,3.3364788443243706e-15
8,0.9999999994249733,8.69711718729229e-15,5.750180982642066e-10
9,5.688652100415389e-05,0.9999430854268995,2.805209646228461e-08
10,0.9999926642913083,2.096167819917475e-08,7.3147470135947795e-06
11,0.24608751470290927,0.7538930128278124,1.9472469278305423e-05
12,0.9999999999336595,2.722301232731919e-13,6.606815522068703e-11
13,0.999999987771874,2.603285643100191e-14,1.2228099917922292e-08
14,0.9999998388850593,1.6111489588800834e-07,4.4840880593490876e-14
15,0.999999999944388,4.249079841227829e-11,1.3121080505110872e-11
16,0.14031963841958453,0.8596803071086112,5.4471804360600835e-08
17,0.04311305872997236,0.9568869381294294,3.1405984353635375e-09
18,0.9999999998618296,1.284807284979191e-10,9.689533467917221e-12
19,0.9999983796645724,1.6203249553920689e-06,1.047236669475949e-11
20,0.9999999999665912,5.3144287593906e-12,2.809436997181325e-11
21,1.0,7.611429171896532e-31,6.195485221735275e-23
22,0.9999999848735752,1.0092331944723855e-17,1.5126424707222803e-08
23,0.9999999851921737,1.4791968207900745e-08,1.58581030675892e-11
24,0.9999999999989702,4.097183986606548e-19,1.0297962916795271e-12
25,0.9999593087108283,4.0668715458502804e-05,2.2573713081076685e-08
26,0.9988247225773222,0.0011752169279029359,6.049477484364937e-08
27,0.9999999770909261,3.5407251744188865e-13,2.2908719800208566e-08
28,0.9999999999756295,9.358275911967464e-15,2.4361152191572147e-11
29,0.9999999996161859,3.385314277623758e-14,3.8378039332485343e-10
30,0.9999999999999514,2.376190643169101e-14,2.4950914278598478e-14
31,0.9999995114987815,9.527553011538775e-09,4.789736655250845e-07
32,0.999999999999992,7.68214833419987e-15,2.0975333632547678e-16
33,0.9999999999999993,9.55389826293704e-19,7.667705561922521e-16
34,0.9981363118501502,0.001861532238104475,2.155911745232982e-06
35,0.905835810030104,0.09416402751035714,1.624595387303597e-07
36,0.9999999784440883,2.7041819087186356e-11,2.1528869838618603e-08
37,0.9999999976675862,8.688915593608463e-11,2.2455246126792835e-09
38,0.9999999999994513,3.0336672860672515e-13,2.452938612197426e-13
39,0.9999999952044425,8.820714140458331e-12,4.786736733803085e-09
40,0.9894200172236032,0.010579955629229162,2.7147167606394638e-08
41,0.9999974164787587,2.4905012985233422e-06,9.301994282092471e-08
42,0.9999974749422992,2.5247307692761474e-06,3.269313241138635e-10
43,0.9999999999999762,6.77123662534098e-17,2.3802204781332576e-14
44,0.9999999999934757,7.226340885187967e-17,6.524357119978512e-12
45,0.9999757592563856,2.423933897240865e-05,1.404642077614655e-09
46,0.9990595478525592,0.0009404511505240807,9.969167837749242e-10
47,0.9999999999988842,1.6841669642222804e-13,9.474296460902972e-13
48,0.9999999999977487,2.2323039395674543e-12,1.9105151600712072e-14
49,0.9999999976497669,2.0205061337371696e-11,2.3300279205603647e-09
50,0.9999999190743513,8.667275743194332e-13,8.09247820187729e-08
51,0.999999693920135,2.846887700794441e-07,2.1391095077897583e-08
52,0.9999999923994315,7.489398521921949e-09,1.1117006262044757e-10
53,0.9999999999993958,1.4157394786590735e-13,4.625141334874352e-13
54,0.9994243179883422,1.1018632053258475e-05,0.0005646633796045125
55,0.9999999998949225,1.860140168009608e-18,1.0507745320311011e-10
56,0.9999999999994682,7.496632956448489e-17,5.318745512721382e-13
57,0.9999999999989608,4.0504973481603002e-22,1.0392764668001541e-12
58,0.9999999999999953,1.905784336624663e-15,2.6800395081067916e-15
59,0.9999991849546589,9.759078025750982e-11,8.149477503259056e-07
60,0.9999894508901542,8.68016617966939e-13,1.0549108977683087e-05
61,0.9998229125461174,0.00017661762402861546,4.698298539426155e-07
62,1.0,9.977482150536244e-23,3.014782227517382e-18
63,0.9999999999999838,6.664591011149967e-21,1.618854531744067e-14
64,0.9999999999775038,4.60251624227535e-17,2.2496213314047473e-11
65,0.9999999358929897,3.652716796073966e-15,6.410700671339051e-08
66,0.999999968482809,1.0823315370600443e-08,2.0693875421469443e-08
67,0.9999998850514425,9.968653669256411e-08,1.5262020868865957e-08
68,0.9999999952717844,4.698542985720675e-09,2.9672402529230204e-11
69,0.9999997830959737,2.2278024824742944e-10,2.166812461733074e-07
70,0.9999892179273047,9.36399525175955e-09,1.0772708700098882e-05
71,0.9999999972175564,1.6754027151762525e-13,2.7822760026797012e-09
72,0.9999978536988167,2.1444382185727947e-06,1.862964974791082e-09
73,0.08024849004427864,0.9197502289880299,1.2809676914492907e-06
74,0.17485758994179212,0.8250808674199785,6.154263822937446e-05
75,0.9999999999539642,1.8624941900158388e-15,4.6033962597690074e-11
76,0.9999997682150652,2.8748690410072693e-12,2.3178206006877824e-07
77,0.999999963807396,4.023896505762564e-11,3.6152365082149006e-08
78,0.9918063553825833,0.008193609947352923,3.4670063770489494e-08
79,0.9787811306569506,0.021218869258048667,8.500065595961012e-11
80,0.9999999995430116,1.5213491889083372e-14,4.5697322196185667e-10
81,0.9999999999991334,8.395223179655016e-19,8.666061260189307e-13
82,0.9999828345121101,1.7155982743244933e-05,9.505146767018372e-09
83,0.9999999999921485,3.6297741364771674e-13,7.488351678225942e-12
84,0.9999999959432118,6.540754957178457e-12,4.050247417285398e-09
