Realisation number,AIC fold,AIC hopf,AIC null
1,0.553498793152009,0.1589114181655913,0.2875897886823998
2,0.8375824496239613,0.041735231090813306,0.12068231928522548
3,0.9999999999449163,3.944408872076361e-11,1.563969556005378e-11
4,0.9999999685943862,1.3366932743943541e-08,1.803868105492886e-08
5,0.9999999972728846,1.5908460598974618e-09,1.1362693111970894e-09
6,0.9999998713003083,4.903113067617814e-08,7.966856110077055e-08
7,0.9999997061935741,2.1917265493876888e-07,7.463377102394743e-08
8,0.7979178676106091,0.06332436489975633,0.13875776748963456
9,0.8287220890791417,0.08536729439174613,0.0859106165291122
10,0.7393437529488586,0.08588918568632267,0.17476706136481873
11,0.9568543101128651,0.011183180098221591,0.0319625097889133
12,0.9988562997946809,0.0006172910364338436,0.0005264091688852744
13,0.9995588389965364,1.3912602682234329e-05,0.0004272484007812667
14,0.9999999994126687,2.0780747540019346e-16,5.873310391862433e-10
15,0.9999999987491,5.580012847218715e-13,1.250342063792863e-09
16,0.9945442706042994,0.001549002799852109,0.003906726595848485
17,0.9999631024190926,4.845734297165618e-06,3.2051846610138665e-05
18,0.9999995305505897,2.3682841054182208e-07,2.3262099973766972e-07
19,0.9999999850810577,5.743846702943591e-09,9.175095753757279e-09
20,0.9999501434016494,1.8255825145692388e-05,3.160077320499912e-05
21,0.9999999999999614,2.849834119542593e-14,1.0109367697017715e-14
22,0.9919067904468456,0.0036699798824210393,0.004423229670733256
23,0.9999996333961397,1.7047786132013523e-07,1.96125999007894e-07
24,0.9999999636475523,1.2097174914304145e-12,3.635123808488916e-08
25,0.9320114575352065,0.017647623341651594,0.05034091912314185
26,0.9428728660305951,0.013889248857227273,0.043237885112177694
27,0.9802735807023121,0.009872374879757648,0.009854044417930167
28,0.9997439767999543,0.00011157762932734564,0.00014444557071840238
29,0.9998761023998877,7.379039245865246e-05,5.010720765382213e-05
30,0.9999985155362073,7.120561714339697e-07,7.724076213277057e-07
31,0.9992563103741523,0.0003129239808360264,0.0004307656450116649
32,0.9999999999184139,3.738046106792094e-11,4.4205542306285426e-11
33,0.9999999994252642,3.332690460778217e-10,2.414667866148547e-10
34,0.24862006528489558,0.7304701969117149,0.020909737803389453
35,0.9986716379387351,9.807615944821082e-06,0.0013185544453201074
36,0.9998842372495729,6.626992522717466e-05,4.9492825199989774e-05
37,0.9999861504996962,5.706432514697931e-06,8.143067789084746e-06
38,0.9999947678399583,2.5970458900846814e-06,2.6351141515301094e-06
39,0.9976378804475821,0.0006779552104753168,0.001684164341942775
40,0.9965711542877719,0.0009794870223630984,0.002449358689864999
41,0.9943600739018201,0.002125123597603704,0.003514802500576256
42,0.9997052315343827,0.00011489099135911431,0.0001798774742581474
43,0.999999997421084,1.220592603946896e-09,1.3583234517929675e-09
44,0.999998769843595,8.029207341595867e-07,4.272356708699768e-07
45,0.9999742934985623,9.444379442990832e-06,1.6262121994669227e-05
46,0.9999725840255482,9.76020251596067e-06,1.7655771935832685e-05
47,0.9999914589721467,3.8842019222471956e-06,4.656825931131119e-06
48,0.9999999965505575,1.6478735392092948e-09,1.8015688833927981e-09
49,0.9998018634487424,0.0001238694002678102,7.426715098998192e-05
50,0.765919207502189,0.09273093403825812,0.14134985845955286
51,0.9837126756504949,0.015501398438583783,0.0007859259109213712
52,0.9999997960719459,8.991069053083545e-08,1.1401736364060874e-07
53,0.9999368087907464,3.035846162658603e-05,3.283274762697572e-05
54,0.4704421262562766,0.01933462611405801,0.5102232476296653
55,0.9992337514297044,2.533214293180807e-08,0.0007662232381526255
56,0.9999999429987761,3.3653244987843786e-08,2.334797893011946e-08
57,0.9999653640421061,2.1749300208993947e-05,1.288665768497678e-05
58,0.9999999855693729,6.164171128905196e-09,8.266456084717147e-09
59,0.9921700458817788,0.002827359909040455,0.0050025942091807786
60,0.5737399000695009,0.10694338976330413,0.31931671016719493
61,0.12025320346520806,0.8796174535839446,0.00012934295084720404
62,0.9999999998718414,9.590708496838731e-11,3.225144192215007e-11
63,0.9999600993579957,2.3083861852584216e-05,1.681678015160419e-05
64,0.9986066894689639,0.0006555377573608269,0.0007377727736753083
65,0.9317913417494402,0.028336915175763536,0.03987174307479626
66,0.99323078865852,0.002261413628113696,0.004507797713366373
67,0.9999915890533185,2.7187499331263596e-06,5.692196748230771e-06
68,0.9999982126710629,8.270197856456391e-07,9.603091516248943e-07
69,0.999230359985339,0.0003501865594067034,0.00041945345525425093
70,0.9739400032959329,0.008244559377167608,0.01781543732689945
71,0.9970226387322018,0.0013749167048400458,0.0016024445629581636
72,0.9999134360563302,8.581748368520334e-13,8.656394281169086e-05
73,0.4196674616907881,0.5780850626709992,0.0022474756382126764
74,0.17204126221701063,0.10894024356064586,0.7190184942223435
75,0.9997859366589764,0.0002110509624767416,3.0123785467445246e-06
76,0.9960358280238316,0.001398779737595519,0.002565392238572998
77,0.8472970799628607,0.04834284146385307,0.10436007857328615
78,0.9998668225023858,2.9111520040332938e-08,0.00013314838609413754
79,0.9999996944847779,9.083992879249358e-08,2.1467529349741791e-07
80,0.9999747972510702,1.1739720835758153e-05,1.3463028093879616e-05
81,0.9999682926135052,1.5183274937534589e-05,1.6524111557318917e-05
